learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.428765,1.6186598202006683E-8,10000.0,80.55,59.560036483708366,59.00948366701792,53.74554102259215,10000.0,145928.0,43.0,34.0,34.0,3.0,0.0,0.0,1.0
20000.0,0.551614,2.245968361281686E-8,20000.0,83.89,66.55206475287727,66.53162979121221,61.47315556618438,20000.0,197384.0,61.0,46.0,46.0,4.0,0.0,0.0,1.0
30000.0,0.655531,2.813079107759727E-8,30000.0,85.64666666666668,70.28327464989371,70.1573220597408,65.7111004937092,30000.0,210952.0,67.0,49.0,49.0,4.0,0.0,0.0,1.0
40000.0,0.824955,4.008483994959129E-8,40000.0,86.465,72.08403623936566,71.9670688137524,67.89991699276652,40000.0,272736.0,93.0,65.0,65.0,4.0,0.0,0.0,1.0
50000.0,0.942992,4.991360584273934E-8,50000.0,87.088,73.38270087010714,73.37182924314291,69.33016627078385,50000.0,321872.0,109.0,76.0,76.0,5.0,0.0,0.0,1.0
60000.0,1.019256,5.682352606828014E-8,60000.0,87.645,74.53342262060335,74.55113460812248,70.60083283759666,60000.0,350232.0,123.0,83.0,83.0,5.0,0.0,0.0,1.0
70000.0,1.126627,6.698744703912073E-8,70000.0,88.04857142857144,75.38489447044172,75.41508713156426,71.57419047942646,70000.0,365912.0,129.0,86.0,86.0,5.0,0.0,0.0,1.0
80000.0,1.21829,7.606109789676137E-8,80000.0,88.4325,76.19801445348952,76.16484224082421,72.52130534192477,80000.0,382640.0,137.0,90.0,90.0,5.0,0.0,0.0,1.0
90000.0,1.324207,8.77581721647746E-8,90000.0,88.74,76.83940993166965,76.75314844126349,73.25697999683327,90000.0,426888.0,159.0,101.0,101.0,5.0,0.0,0.0,1.0
100000.0,1.413675,9.815121339634061E-8,100000.0,89.042,77.46618851659767,77.38333574126437,73.96902318510072,100000.0,449032.0,169.0,106.0,106.0,5.0,0.0,0.0,1.0
110000.0,1.512907,1.1106885115512543E-7,110000.0,89.29545454545455,78.00598712332994,77.92504827431056,74.64852412427068,110000.0,503192.0,195.0,122.0,122.0,6.0,0.0,0.0,1.0
120000.0,1.613789,1.2574065844424897E-7,120000.0,89.53166666666667,78.49194186685095,78.41543669135208,75.21407994948896,120000.0,562176.0,213.0,134.0,134.0,6.0,0.0,0.0,1.0
130000.0,1.72423,1.4284747247066765E-7,130000.0,89.74692307692308,78.93285156631823,78.86767923391572,75.71069319921277,130000.0,598744.0,230.0,144.0,144.0,6.0,0.0,0.0,1.0
