learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.126837,1.4227639883756638E-10,10000.0,72.72,42.6880642431505,45.12170589418627,34.8926014319809,10000.0,4336.0
20000.0,0.184477,2.0693270282612906E-10,20000.0,72.94,43.04348825420336,44.904815229563276,35.770234986945184,20000.0,4336.0
30000.0,0.221867,2.4887404921982024E-10,30000.0,73.19,43.41807822721177,45.19250425894378,36.05501669581809,30000.0,4336.0
40000.0,0.248722,2.789980090326733E-10,40000.0,73.2525,43.56921701262735,45.040324651975126,36.307893796880585,40000.0,4336.0
50000.0,0.277248,3.109963734944662E-10,50000.0,73.286,43.67547004268739,45.150295663600524,36.59150249228577,50000.0,4336.0
60000.0,0.305428,3.426066206561195E-10,60000.0,73.32833333333333,43.81997200896132,45.33747779751331,36.899175900003925,60000.0,4336.0
70000.0,0.337059,3.780879452824593E-10,70000.0,73.31428571428572,43.844903953592315,45.34016093635698,37.008936098465675,70000.0,4336.0
80000.0,0.362341,4.064474296238688E-10,80000.0,73.3075,43.863805231789264,45.29104324656693,37.11273412651668,80000.0,4336.0
90000.0,0.390822,4.3839531640211743E-10,90000.0,73.35222222222222,43.91410176542464,45.37897421882116,37.09377049180328,90000.0,4336.0
100000.0,0.423535,4.75090348886119E-10,100000.0,73.35000000000001,43.89377240558252,45.28057819846827,37.0229458610015,100000.0,4336.0
110000.0,0.454742,5.100960615608427E-10,110000.0,73.37363636363636,43.92630161204005,45.34308694272865,37.05080811554334,110000.0,4336.0
120000.0,0.484279,5.432284913129276E-10,120000.0,73.395,43.939371349649896,45.344358276411064,36.989816057472176,120000.0,4336.0
130000.0,0.511213,5.734410675035582E-10,130000.0,73.41846153846154,43.99368861876432,45.428991045907495,37.05187991839116,130000.0,4336.0
140000.0,0.539052,6.046688059965769E-10,140000.0,73.42785714285715,43.99857100237908,45.500227076282975,37.03070516943702,140000.0,4336.0
150000.0,0.562878,6.313950568437576E-10,150000.0,73.45133333333334,44.02508314376749,45.51586378623907,37.04470722144935,150000.0,4336.0
160000.0,0.58633,6.577017820543713E-10,160000.0,73.478125,44.100473930665714,45.61219127693118,37.153816533870454,160000.0,4336.0
170000.0,0.614275,6.890484235352939E-10,170000.0,73.49117647058824,44.12154454675136,45.634733934107835,37.13907100013949,170000.0,4336.0
180000.0,0.641071,7.191062014963891E-10,180000.0,73.52833333333334,44.182477689455524,45.71832173249335,37.18658546231115,180000.0,4336.0
190000.0,0.66596,7.470248474015129E-10,190000.0,73.51736842105264,44.16058837967751,45.71767625006743,37.176781990935545,190000.0,4336.0
200000.0,0.68638,7.699304984675512E-10,200000.0,73.5095,44.14614977388704,45.693931939319405,37.18983770198339,200000.0,4336.0
210000.0,0.707722,7.938703811830943E-10,210000.0,73.50333333333333,44.11969207452152,45.68606206135855,37.121580237984915,210000.0,4336.0
220000.0,0.727755,8.163419241706529E-10,220000.0,73.49909090909091,44.11577464320011,45.66044066659211,37.13731198447356,220000.0,4336.0
230000.0,0.752873,8.445174453987015E-10,230000.0,73.4804347826087,44.088034532331136,45.62901687421445,37.11142500695955,230000.0,4336.0
240000.0,0.772324,8.66336143679089E-10,240000.0,73.47083333333333,44.077181633156066,45.611877060803295,37.11232270554303,240000.0,4336.0
250000.0,0.800571,8.98021546502908E-10,250000.0,73.48479999999999,44.10525834558731,45.61475477085144,37.13857621075189,250000.0,4336.0
260000.0,0.827201,9.278931178980403E-10,260000.0,73.48384615384616,44.09230111404448,45.6164707738424,37.09614138815135,260000.0,4336.0
270000.0,0.853732,9.576536383893755E-10,270000.0,73.4888888888889,44.09371679649976,45.63227732247701,37.08690760793137,270000.0,4336.0
280000.0,0.873359,9.796697604987357E-10,280000.0,73.49142857142857,44.111494676712056,45.63738235617241,37.13559752689084,280000.0,4336.0
290000.0,0.892874,1.001560249262386E-9,290000.0,73.49379310344828,44.110392565560694,45.64521033241644,37.130518705118355,290000.0,4336.0
