learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.629541,7.5802818313241E-9,10000.0,80.60000000000001,70.90305270622534,71.07930828861062,70.7302353651177,10000.0,46544.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
20000.0,1.002411,1.375460460782051E-8,20000.0,81.47999999999999,72.18658231772183,72.48551478235031,71.89468093178542,20000.0,64008.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,1.43475,2.6083657909184695E-8,30000.0,81.31,71.94041943329583,72.08364451082898,71.61443831316762,30000.0,110232.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
40000.0,1.84772,3.2796354486296575E-8,40000.0,81.04249999999999,71.54612814370232,71.64385610649913,71.1957760388969,40000.0,62832.0,17.0,9.0,9.0,2.0,0.0,0.0,1.0
50000.0,2.157433,3.797870848327875E-8,50000.0,80.598,70.87950480252408,70.97247157390785,70.59411943013035,50000.0,64680.0,17.0,9.0,9.0,2.0,0.0,0.0,1.0
60000.0,2.45296,4.63897668197751E-8,60000.0,80.57666666666667,70.84925084621614,70.95721085553367,70.5959529696725,60000.0,110016.0,23.0,12.0,12.0,3.0,0.0,0.0,1.0
70000.0,2.792412,5.7614117409620015E-8,70000.0,80.83571428571429,71.23996337659787,71.3213758898604,71.05092792403973,70000.0,127816.0,25.0,13.0,13.0,3.0,0.0,0.0,1.0
80000.0,3.135242,7.539830963644716E-8,80000.0,80.895,71.33203197658428,71.4173508125596,71.17422956508618,80000.0,200520.0,35.0,18.0,18.0,4.0,0.0,0.0,1.0
90000.0,3.456654,9.278387527498933E-8,90000.0,81.12666666666667,71.68022845687192,71.76857745940465,71.54535555741687,90000.0,209088.0,35.0,18.0,18.0,4.0,0.0,0.0,1.0
100000.0,3.773682,1.1135084287159972E-7,100000.0,81.293,71.9309149580636,71.98712189278228,71.80515154712205,100000.0,226384.0,37.0,19.0,19.0,4.0,0.0,0.0,1.0
110000.0,4.124404,1.353186165044705E-7,110000.0,81.45272727272727,72.17218674697926,72.20473835506328,72.06277044421319,110000.0,264160.0,43.0,22.0,22.0,5.0,0.0,0.0,1.0
120000.0,4.50474,1.6373929415312076E-7,120000.0,81.58333333333333,72.3679184501404,72.35841504902942,72.2386222317133,120000.0,288848.0,45.0,23.0,23.0,5.0,0.0,0.0,1.0
130000.0,4.874385,1.9516629138754472E-7,130000.0,81.70615384615385,72.55379849035322,72.52922422954305,72.42890432080875,130000.0,328640.0,51.0,26.0,26.0,5.0,0.0,0.0,1.0
140000.0,5.252104,2.2941307482413118E-7,140000.0,81.80071428571428,72.69631505282223,72.68282745976778,72.57255425421975,140000.0,350472.0,53.0,27.0,27.0,5.0,0.0,0.0,1.0
150000.0,5.617993,2.6441525519308113E-7,150000.0,81.94533333333334,72.91452176955919,72.89360424381944,72.81114781089683,150000.0,369784.0,55.0,28.0,28.0,5.0,0.0,0.0,1.0
160000.0,5.997987,3.039848709106445E-7,160000.0,82.02625,73.03688732318939,73.02605661545388,72.95299362338469,160000.0,402520.0,59.0,30.0,30.0,6.0,0.0,0.0,1.0
170000.0,6.408526,3.5302859120484857E-7,170000.0,82.14470588235294,73.21513323721436,73.1959309102469,73.14233131005679,170000.0,461776.0,67.0,34.0,34.0,7.0,0.0,0.0,1.0
180000.0,6.80691,4.0382260302288666E-7,180000.0,82.23222222222222,73.34752390873963,73.32566014445612,73.29113184069213,180000.0,492848.0,71.0,36.0,36.0,7.0,0.0,0.0,1.0
190000.0,7.17045,4.531745095509622E-7,190000.0,82.33,73.49446985488852,73.48125212281104,73.44937484677618,190000.0,524752.0,75.0,38.0,38.0,7.0,0.0,0.0,1.0
200000.0,7.53645,5.049275213935309E-7,200000.0,82.414,73.6200953503026,73.60113485397761,73.57356454836432,200000.0,546584.0,77.0,39.0,39.0,7.0,0.0,0.0,1.0
210000.0,7.935689,5.684212072235015E-7,210000.0,82.43238095238095,73.64711152157486,73.63143185927997,73.59897521773046,210000.0,614752.0,87.0,44.0,44.0,7.0,0.0,0.0,1.0
220000.0,8.333232,6.325551362087329E-7,220000.0,82.49409090909091,73.74020339782412,73.71323654879156,73.70480117981211,220000.0,623600.0,89.0,45.0,45.0,7.0,0.0,0.0,1.0
230000.0,8.721427,6.987111780792475E-7,230000.0,82.55956521739131,73.83849390661533,73.82905012624533,73.81110937010342,230000.0,658752.0,91.0,46.0,46.0,7.0,0.0,0.0,1.0
240000.0,9.111332,7.655653400967519E-7,240000.0,82.61458333333334,73.92086314307285,73.9127444605612,73.88890974855757,240000.0,662784.0,91.0,46.0,46.0,7.0,0.0,0.0,1.0
250000.0,9.488068,8.328600342157815E-7,250000.0,82.6952,74.04176486781861,74.03864618338933,74.0169728710338,250000.0,690472.0,95.0,48.0,48.0,7.0,0.0,0.0,1.0
260000.0,9.878958,9.047718025619786E-7,260000.0,82.75038461538462,74.12397132468438,74.12910929469247,74.09324329788525,260000.0,711128.0,97.0,49.0,49.0,7.0,0.0,0.0,1.0
270000.0,10.263029,9.78064891387605E-7,270000.0,82.80111111111111,74.20025632474038,74.20009000550033,74.16722296395194,270000.0,737656.0,101.0,51.0,51.0,8.0,0.0,0.0,1.0
280000.0,10.660073,1.0569931763307088E-6,280000.0,82.85178571428573,74.27689251247182,74.28089345974612,74.24585380505911,280000.0,768416.0,103.0,52.0,52.0,8.0,0.0,0.0,1.0
290000.0,11.074444,1.1424583416370055E-6,290000.0,82.90068965517241,74.3506698656363,74.35218421243187,74.32363159993164,290000.0,797264.0,109.0,55.0,55.0,8.0,0.0,0.0,1.0
300000.0,11.452933,1.224828671688835E-6,300000.0,82.93266666666666,74.39885384817686,74.40079194456388,74.37632304589562,300000.0,841240.0,115.0,58.0,58.0,8.0,0.0,0.0,1.0
