learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.555741,5.5219409801065924E-9,10000.0,80.61,70.88742893957723,70.8771402823671,70.45108198719903,10000.0,38408.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
20000.0,0.844509,9.347408407678207E-9,20000.0,81.395,72.09044648482622,72.16278895788135,71.75068326753718,20000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,1.027083,1.1766065911700328E-8,30000.0,81.72,72.58441555403088,72.55667317219637,72.32260018168972,30000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,1.240233,1.595509773120284E-8,40000.0,81.5725,72.37289704514399,72.29155702578754,72.14180430099398,40000.0,75968.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
50000.0,1.430158,2.092074935634931E-8,50000.0,81.84,72.76545766066518,72.69829815382765,72.56466038191927,50000.0,101064.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
60000.0,1.63511,2.6913420740101072E-8,60000.0,81.95,72.9288502957835,72.87685642014577,72.77252614641995,60000.0,113024.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
70000.0,1.821002,3.296434639228715E-8,70000.0,82.03571428571429,73.05859951314079,73.10505603558902,72.9179678246075,70000.0,125824.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
80000.0,2.008395,4.028075226686067E-8,80000.0,82.0325,73.05485237704683,73.08995600486755,72.88384991227903,80000.0,150920.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
90000.0,2.197095,4.7779407114204434E-8,90000.0,82.12333333333333,73.18996253793422,73.25720554502843,73.01318393773694,90000.0,153608.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
100000.0,2.410044,5.741091223847535E-8,100000.0,82.121,73.18494111617268,73.26024856796734,73.02830074825006,100000.0,174832.0,27.0,14.0,14.0,5.0,0.0,0.0,1.0
110000.0,2.59948,6.716687926608655E-8,110000.0,82.13818181818182,73.20887887048345,73.2352540525814,73.02543966830956,110000.0,199072.0,31.0,16.0,16.0,6.0,0.0,0.0,1.0
120000.0,2.790537,7.817200442776084E-8,120000.0,82.17666666666666,73.26688846041554,73.29204180766973,73.1107227719038,120000.0,222656.0,35.0,18.0,18.0,6.0,0.0,0.0,1.0
130000.0,2.985389,9.081361251365808E-8,130000.0,82.23692307692308,73.35795015571505,73.36624299324122,73.2036761975492,130000.0,250784.0,39.0,20.0,20.0,6.0,0.0,0.0,1.0
140000.0,3.142375,1.0146348089186682E-7,140000.0,82.33928571428571,73.51136879941276,73.51138822823596,73.3650044705857,140000.0,262232.0,41.0,21.0,21.0,6.0,0.0,0.0,1.0
150000.0,3.337778,1.1547699803486466E-7,150000.0,82.43599999999999,73.65646843808194,73.65689774124846,73.5237367849821,150000.0,277216.0,43.0,22.0,22.0,6.0,0.0,0.0,1.0
160000.0,3.55019,1.3202476341898242E-7,160000.0,82.50874999999999,73.76583012720349,73.76123908905952,73.61976490993241,160000.0,301136.0,47.0,24.0,24.0,6.0,0.0,0.0,1.0
170000.0,3.730773,1.4721038872376084E-7,170000.0,82.53882352941176,73.80988535471367,73.80769604080085,73.66899072152145,170000.0,325056.0,51.0,26.0,26.0,6.0,0.0,0.0,1.0
180000.0,3.927054,1.6427993299439548E-7,180000.0,82.60833333333333,73.91512357701873,73.90728145629126,73.76294880820676,180000.0,336160.0,53.0,27.0,27.0,7.0,0.0,0.0,1.0
190000.0,4.126674,1.8346673445776104E-7,190000.0,82.66157894736843,73.99472491318694,73.98853515254879,73.85123389663684,190000.0,371536.0,59.0,30.0,30.0,7.0,0.0,0.0,1.0
200000.0,4.306681,2.0085930109644928E-7,200000.0,82.7565,74.136740971461,74.11410599953463,74.00464323941326,200000.0,373488.0,61.0,31.0,31.0,7.0,0.0,0.0,1.0
210000.0,4.493991,2.2077250941553047E-7,210000.0,82.81619047619047,74.22597502278279,74.20420184286338,74.10349702541139,210000.0,410944.0,65.0,33.0,33.0,7.0,0.0,0.0,1.0
220000.0,4.686164,2.423083786976834E-7,220000.0,82.82954545454545,74.24597854065507,74.23453901821827,74.12529453668695,220000.0,433184.0,69.0,35.0,35.0,7.0,0.0,0.0,1.0
230000.0,4.875744,2.6491670763947894E-7,230000.0,82.85347826086957,74.2815286142652,74.25531220419754,74.1754032126042,230000.0,460976.0,73.0,37.0,37.0,7.0,0.0,0.0,1.0
240000.0,5.04856,2.866928965494864E-7,240000.0,82.87791666666666,74.31812942896164,74.30338427674529,74.21825984390293,240000.0,487080.0,77.0,39.0,39.0,7.0,0.0,0.0,1.0
250000.0,5.210271,3.0710490842867226E-7,250000.0,82.9324,74.39953032393527,74.38405014047979,74.3092475630242,250000.0,487920.0,77.0,39.0,39.0,7.0,0.0,0.0,1.0
260000.0,5.361221,3.262963818406893E-7,260000.0,83.01653846153846,74.52569833136194,74.51623142403693,74.43686066100487,260000.0,491448.0,77.0,39.0,39.0,7.0,0.0,0.0,1.0
